Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
LDA50_abstract_weight__8_mpfc_social_medial,0.00577455581662232,-2.760315536933262,0.1370067331789286,7.697793330835478e-20,9.117358040411702,0.6270478834465983
LDA50_abstract_weight__0_network_state_resting,2.4565538589103508e-61,16.524205524933766,0.11909784074188759,4.480076322325184e-17,8.399598540054384,0.5976734285220402
LDA50_abstract_weight__28_social_empathy_moral,1.1401627873114068e-13,-7.4235567539537195,0.13217559460656703,1.5536918839953387e-10,6.400007628940787,0.6000854903203422
LDA50_abstract_weight__41_imagery_mental_events,1.624265140434374e-19,-9.036055987033821,0.1299390723436598,5.9336868953080474e-08,5.4207880767644525,0.5888960134952935
LDA50_abstract_weight__33_memory_retrieval_encoding,5.020465745876222e-14,7.531385675189687,0.11596005790000069,0.0004672152534450132,3.4988808845311987,0.5436029104998179
LDA50_abstract_weight__9_memory_working_wm,2.731683138169611e-07,-5.141076829892624,0.11606896926758672,0.06514234885555374,1.8442799712440145,0.5279585194040889
LDA50_abstract_weight__3_cortex_anterior_cingulate,2.5189496349778345e-132,24.478241451201825,0.111627360377835,0.1932461012607386,1.3010360913062096,0.5153261685859868
LDA50_abstract_weight__18_number_ips_numerical,7.588155464454316e-75,-18.304719641836318,0.11767114707118503,0.20732274143353124,1.2609614365418362,0.5288218546740575
LDA50_abstract_weight__12_women_men_sex,6.32747925070696e-84,-19.410204467855355,0.11789155185572907,0.21167843370702993,1.2489634740303748,0.5295238123385566
LDA50_abstract_weight__38_semantic_category_representations,0.5986980040303794,-0.5262737712741948,0.11367845430395755,0.2671901245529274,1.109556640014298,0.5153701743187032
LDA50_abstract_weight__47_attention_attentional_target,2.545133020981723e-55,15.666947322819748,0.11225645126790601,0.27026631839840676,1.1024494615448868,0.5130988548144788
LDA50_abstract_weight__23_asd_autism_group,2.7470327658405998e-95,-20.711169940618543,0.1160621505958458,0.3996220981972449,0.8422963418166194,0.5208709315950082
LDA50_abstract_weight__48_prefrontal_cortex_pfc,5.601732471413971e-300,37.01930557708289,0.11099863184349343,0.45096755014116996,0.7538029536750913,0.5095488759206507
LDA50_abstract_weight__26_emotional_amygdala_negative,2.0672423337410685e-94,20.613718510140473,0.11183821405135741,0.4569505827933219,0.7438775095495256,0.5087487830477049
LDA50_abstract_weight__30_decision_making_risk,2.482497741809992e-31,-11.643290436385918,0.11400891413807715,0.4856535570903062,0.6972384865074169,0.5127468486541977
LDA50_abstract_weight__24_age_adults_older,0.0002622070012372944,3.65003262671158,0.11263185321862024,0.5023901263323801,0.6707338003887253,0.5087444423282927
LDA50_abstract_weight__4_stimulus_time_repetition,0.04541951320061275,2.000748376585105,0.11267667623593142,0.5248787517235336,0.6358430088678243,0.5084732069007423
LDA50_abstract_weight__37_language_reading_word,0.0204394732767989,-2.3181812377318805,0.11127706327036477,0.79162531990041,-0.26420063744957273,0.4962178910143372
LDA50_abstract_weight__22_method_group_approach,0.0,inf,0.11311655438896404,0.7561268206140774,-0.3105709417304218,0.4929748215344676
LDA50_abstract_weight__19_action_actions_observation,1.3960883937109456e-30,-11.495106430955273,0.10986427497621916,0.534223390981562,-0.6215719182027483,0.4886357223737807
LDA50_abstract_weight__1_anxiety_trait_personality,9.679649247822428e-51,-14.981641458776616,0.10937470877134123,0.5230389253197429,-0.6386680136710677,0.48669331110892183
LDA50_abstract_weight__16_response_inhibition_control,1.7352839371651185e-29,-11.275430156321175,0.10923615716875067,0.3968621186419099,-0.8472386426290353,0.4846189861935002
LDA50_abstract_weight__10_food_taste_weight,1.9484410196894082e-192,-29.59104278077948,0.10595243042340657,0.3484738756108241,-0.9375535815604025,0.4702598574290718
LDA50_abstract_weight__34_frequency_hz_ms,2.618178346528824e-24,-10.172964035739733,0.10876223991774275,0.2773663650134668,-1.086254604444798,0.48099306652165275
LDA50_abstract_weight__31_model_models_prediction,3.6882931615277276e-19,-8.9459304415346,0.10881068076239127,0.24892785905008075,-1.1529574271494463,0.4805923243495215
LDA50_abstract_weight__20_control_conflict_task,2.263686317453537e-14,-7.634687609149826,0.10851791575888708,0.16609127163843446,-1.3848731067270128,0.47756365305725396
LDA50_abstract_weight__49_depression_mdd_state,2.9201317090446337e-41,-13.453910110899082,0.10707099649411377,0.15630684970387287,-1.4176025005163335,0.47205898544585256
LDA50_abstract_weight__35_schizophrenia_risk_genetic,3.274888334085305e-41,-13.44543172822288,0.10690420523641492,0.14098135059080424,-1.4721463900597573,0.47098747551592357
LDA50_abstract_weight__44_eye_sleep_gaze,7.386125643931918e-86,-19.63756108427583,0.10466224008900539,0.12406884283113287,-1.5379172751616053,0.461009291128438
LDA50_abstract_weight__7_reward_feedback_striatum,2.5223682611359322e-23,-9.949978845551415,0.10746999446123806,0.10655746971428035,-1.61386150676162,0.4719564200261292
LDA50_abstract_weight__13_fear_threat_smokers,5.28036075007056e-75,-18.324459240549356,0.10450203788464235,0.09223689569931047,-1.6837143034956839,0.4593575709438244
LDA50_abstract_weight__39_stimulation_tms_bpd,4.039999447838141e-87,-19.784611400479136,0.10376815114859353,0.08370565964763264,-1.7295782228259113,0.45572862553173804
LDA50_abstract_weight__14_disease_ad_pd,6.794866356033527e-49,-14.696430088119056,0.10497633744636453,0.05155834334816332,-1.9468031152511847,0.45955681527736775
LDA50_abstract_weight__17_motor_cortex_hand,0.7365383998492702,0.3364409153612055,0.10896581301462996,0.04504743809871773,-2.004211230125812,0.47265529021420033
LDA50_abstract_weight__11_learning_training_practice,2.280302288853953e-17,-8.478543632990611,0.10660167395786403,0.029586366246476193,-2.175584194478086,0.4639032401349435
LDA50_abstract_weight__29_stress_ptsd_trauma,6.824091827514442e-97,-20.888419261377255,0.10110884543966944,0.026062902154940653,-2.2252732190126316,0.43994154802730784
LDA50_abstract_weight__27_disorder_adhd_group,1.1328647417461404e-30,-11.513133067629273,0.10493613606575225,0.015381530814428284,-2.423269032573629,0.4555496263089582
LDA50_abstract_weight__42_visual_cortex_sensory,1.7166342422446194e-11,6.72829432406914,0.10957564176750076,0.008296641673873416,-2.6397532202965075,0.4668205857708577
LDA50_abstract_weight__25_spatial_body_human,6.055038780424801e-07,-4.989453369814083,0.10672193911195738,0.00715359195447248,-2.6896083529671846,0.459351241722239
LDA50_abstract_weight__40_face_faces_facial,4.076486402536296e-31,-11.600924880329668,0.1038211057975102,0.004235117242281803,-2.8600967925447467,0.4473724311721604
LDA50_abstract_weight__45_motion_perception_visual,5.5153190003829975e-61,-16.47536662637389,0.1006255196142458,0.0027081407311553246,-2.9990598835473445,0.4322432834053962
LDA50_abstract_weight__36_placebo_treatment_dopamine,2.4496400356752913e-66,-17.204671021334974,0.09935467072968471,0.0012349235203108035,-3.2306887147573446,0.4243774545241398
LDA50_abstract_weight__6_auditory_speech_temporal,2.7898636265166427e-33,-12.019995586027562,0.10129772359904388,0.00012198806994884706,-3.8420960649084233,0.42825502641792434
LDA50_abstract_weight__2_cerebellar_cerebellum_basal,1.6479409073982323e-24,-10.217946942838818,0.10195279600026405,4.6542987576823266e-05,-4.072340919565093,0.42883111812242414
LDA50_abstract_weight__32_pain_somatosensory_stimulation,5.942480201512566e-69,-17.550052749358223,0.0961276225461666,3.633135396269044e-05,-4.129651494364538,0.40104395436019485
LDA50_abstract_weight__46_hemisphere_language_stroke,5.890778288730248e-34,-12.147830896081885,0.09972700611616268,6.005357341842524e-06,-4.526200617884566,0.4151921878442234
LDA50_abstract_weight__21_matter_volume_structural,1.7464332813862913e-20,-9.276800945818215,0.1005941425593416,2.012862790176045e-07,-5.198145751786354,0.412322941197146
LDA50_abstract_weight__5_gyrus_frontal_inferior,0.0,inf,,0.15729920705028105,,
LDA50_abstract_weight__15_task_performance_cognitive,0.0,inf,,0.15729920705028105,,
LDA50_abstract_weight__43_magnetic_mechanisms_human,0.0,inf,,0.15729920705028105,,
