id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9
Abe_2019-1	0.0	0.00884271808158087	0.034690587288046616	0.0	0.047242007275454447	1.2619617159469073e-06	0.008482095873172696	0.0	0.0
Abu-Akel_2020-1	0.0	0.007298056623570786	0.010610557616585248	0.0	0.0	0.0	0.0	0.0	0.0
Alkire_2018-1	0.03635972871434582	0.013333096437866123	0.021393171002879706	0.03691818213547437	0.010667529283451688	2.493983074269797e-06	0.007667904346683672	0.000620733613961717	0.054160346615474655
Anders_2015-1	5.347164530960485e-10	0.01060064093287103	0.0	0.0	0.007406243052481222	0.0	8.783769566910317e-05	0.0	0.0
Assaf_2013-1	1.5960139706644826e-05	0.0041223006126921095	0.012096134959316404	0.0001525016026376783	5.5307357124992967e-05	0.0	0.0027564375433525327	0.0	0.01868575984957967
Bach_2019-1	0.020833872632638688	0.008184716371529796	0.013729948980453781	0.021433335927838134	0.03278022421835841	0.001288446244950345	0.008141462003992494	2.671010936433558e-10	3.83316407467669e-06
Bault_2011-1	0.014607465478055824	0.010782971596481155	0.010463894800060346	0.025297739202383474	0.011081838897422272	0.04780839109554867	0.0021039936968109537	0.0	0.01335561541576711
Bereczkei_2015-1	0.02033888296239551	0.015152785427697648	0.00812690022551847	0.03106588173122229	8.929837978799339e-07	0.08751111090096592	1.05863548601433e-07	0.10964360541442017	0.030698569857168033
Berns_2005-1	0.01212261897068513	0.011773009893691726	0.009450892495626792	0.014414103689048795	1.2263440833417402e-07	4.135085859459733e-07	0.0006541913120799571	0.0	0.0015204171985878784
Beyer_2018-1	0.0	0.0	0.00953230804713943	0.0	0.03366828977289711	0.0	0.034659920725794706	0.0001245040356284377	7.005348172091351e-09
Bitsch_2018-1	0.01562983000291478	0.013789656943879063	0.011942577728691162	0.0	5.878022454859567e-07	0.038139091581262406	6.838014505439475e-07	0.06434160021425869	0.014233312418086955
Brandi_2021-1	0.0175196109920335	0.012587189530760204	0.008968870357090005	0.0	0.029247454811172052	7.500742285169937e-06	0.01446879150910432	1.9315893366001747e-05	0.007013381120409727
Brune_2013-1	0.01312339927218551	4.2915920294608073e-10	0.0	0.030033549387188815	0.0	0.0507556214146167	0.0	0.0	0.009289172887386598
Buades-Rotger_2017-1	0.0	3.704662146184711e-05	2.6083048368534048e-08	0.0	0.0	0.0	0.00039681633964093894	0.0	0.0
Caruana_2015-1	0.025853089622232463	0.014779649506455293	0.0161537434458261	0.023871939896379264	0.013330147066432334	0.0	0.00934535307846488	4.582210839572027e-08	0.06436316712935891
Cavallo_2015-1	0.0212804916498015	0.015271873856242317	0.010397697905104511	0.01010111406357342	0.0	2.137297617028856e-06	0.0	0.0	0.0004914343586778093
Chaminade_2012-1	0.0	0.010358774628960989	0.024087292025768134	0.0	1.17814003383951e-06	0.0011920103071756147	0.00024285442547295377	0.0014445879655741137	0.0
Chaminade_2015-1	0.0	0.011516013703041368	0.01406902235099068	0.0	0.0	0.0	0.00824496391479318	0.0	3.8549643983262765e-08
Chauvigne_2018a-1	0.0	0.0	0.001324328371445747	0.0	4.225975189313193e-05	0.0	0.0	0.0	0.0
Chauvigne_2018b-1	0.006035855899258799	0.012043295626238631	0.023028717055601205	0.0	0.0	0.0	0.0	0.0	0.0014487539757534194
Corradi-DellAcqua_2013-1	0.007460343557242229	0.002767472362283354	2.0323360752881823e-06	0.028774663623630486	8.684128251290084e-08	1.9021721871570718e-08	0.025393560392065587	1.9483222396738036e-07	0.009185135497289169
Dedovic_2014-1	0.00013607684743274594	6.439556627028116e-08	0.00959839657898724	0.0	0.02827437011044625	0.0	0.0	9.213631795112483e-07	4.955050283779686e-05
Delgado_2008-1	0.0	0.0	0.0	0.0	8.850288583630819e-08	0.0	0.01977138583193838	1.9201288116837898e-07	0.0
DiMenichi_2017-1	0.01926196622651308	0.0003877646278693007	0.01395047441500767	0.0	0.019583051093388898	5.339324056130676e-05	0.0	0.0	0.018501994925792693
Dziura_2021-1	0.004367214174011245	0.022414185931889645	0.0	1.2153642448153918e-05	0.03804695926337447	0.0	0.0	3.1794794444929536e-07	0.0
Edmiston_2015-1	0.0	0.0002165874403636334	0.0008838161318336895	0.001190020174097869	9.233577495016779e-06	0.0	0.005945597638086532	0.030241568945248477	0.0039641970796392145
Elliott_2006-1	3.844576513738477e-06	0.01472937962478978	0.0	0.0	0.030259335479179413	0.0	0.04924575607182639	8.890264162182606e-06	0.0
Fareri_2012-1	0.004766669957374639	0.007055171251062269	0.01699197797303126	0.02729251168290868	0.021677536692987526	0.0	0.016670119688574014	0.0	0.0
Fareri_2014-1	0.00036234889988461373	0.010612089905617362	0.0	0.005094265997298254	0.03165975012175409	0.0	0.020725564497450916	2.1691940684702237e-08	0.0
Fareri_2015-1	2.243699272991703e-06	0.001439704492697906	0.0	0.00018907466030668337	0.0	0.0	0.0	0.0	0.0
FeldmanHall_2012-1	0.03771833339197039	0.012156736858428472	0.003332532577700574	0.0392757604722112	3.7307742587751083e-06	0.0	0.0	0.0	0.002664557378886448
Fett_2019-1	0.019155812376120993	0.036888460157282706	0.02487796714523965	0.00033117831152894777	9.777438541433382e-06	0.11265221952899439	0.0	0.07842920951441432	0.09370497203194814
Fukui_2006-1	0.0	0.008714083118580617	0.0	0.0	0.002449800192008603	0.0	0.0	0.0	0.0
Gallagher_2002-1	0.00019325309131340858	0.009327850149676036	0.0	0.0	0.0	0.0	0.0	0.0	0.0
