Term,pForward,zForward,probForward,pReverse,zReverse,probReverse
ST.Vignettes,0.6568695874038788,-0.44423929183961613,0.16921902268760908,3.3376447034417235e-15,7.877586743150117,0.9849168492974087
BD.Cognition.Social Cognition,2.5356022127233747e-16,8.193584063467217,0.019494365373401018,7.826113539452514e-14,7.4732111183860255,0.8985121203677904
ST.Dots,0.6868078380360078,-0.403190839608185,0.12755269014268883,1.149975004598272e-11,6.786360613128618,0.9799871712636306
PC.Theory of Mind,1.6527952071873819e-06,4.791814697631899,0.020072800168811984,2.079040732619021e-09,5.991508017774639,0.8896189224704337
Instruct.Answer,0.587654547146552,0.5422380195124147,0.05011183166522972,1.0393735039955747e-08,5.724175359075897,0.9502555791048498
PC.Deception,0.16365407497169862,1.392886633702071,0.03128325040787167,1.43508348246404e-07,5.260699570485032,0.9220958011094464
ST.Stories,0.7312194817342166,-0.3435038011076274,0.03827032189202854,0.0005907900370731235,3.4358077533756424,0.9332110091743119
SM.Visual,8.466882088445385e-213,31.13356245867895,0.0038236855390013326,0.004233791720663416,2.860196059843146,0.8595446925338321
ST.Mathematical Equation,0.7358210034148029,-0.33739254547439135,0.0263679074358686,0.007024844607431683,2.6956641954723337,0.9029735813292263
BD.Emotion,5.0418682955618175e-23,9.880819886381127,0.006893488385507376,0.01609466915296668,2.406761674692019,0.6877599048526819
BD.Action.Motor Learning,0.7380349252503996,-0.33445674578110945,0.020417878247819155,0.025126155957416817,2.2394576186001016,0.8745836683128516
BD.Perception.Vision,0.025748239484115153,2.2299880008712725,0.009689705167777181,0.029894739429904386,2.1714822240414815,0.7478428585930362
PC.Fixation,0.7384710713020084,-0.33387872919068956,0.019228074784360085,0.032576182176887396,2.137268219451073,0.8667881134008881
Instruct.Choose,0.5975762929948981,0.5278891252092549,0.01293422331169118,0.03302574175363923,2.131770209944742,0.8053569522996478
PC.Imagined Objects/Scenes,0.5977088515466638,0.5276981585477188,0.012420215768593566,0.04108262086865528,2.0426951941407223,0.7971673184652786
ST.Pictures,5.071810478072461e-23,9.880226571067023,0.006395219193164411,0.055869772985090604,1.9120500636737652,0.6532032391471236
PC.Drawing,0.7398654191089817,-0.3320315719524933,0.015384952589055692,0.07659099210841981,1.7708178772479082,0.8333150684931507
ST.Words,2.4598300016020882e-45,14.13061604093151,0.00578626534364906,0.0802886286127171,1.7490138312539802,0.6335671736977082
RT.Draw,0.7399806111633387,-0.33187902242916567,0.015064777061686177,0.08235912969957995,1.7371588861082814,0.8297500818509222
PC.Delay Discounting,0.7401941341145383,-0.3315962731358289,0.014470213818983717,0.09431342186850872,1.6730704810329535,0.8227080852906159
BD.Emotion.Anger,0.7402932681483043,-0.3314650078383409,0.014193696450428396,0.10048269110818263,1.6425180378149344,0.8192303546405088
Instruct.Recall,1.8087356421173974e-08,5.6293656788829125,0.006821867449927889,0.10492759657015323,1.6214199895843484,0.6522243713733076
BD.Cognition,1.8099188692664467e-08,5.629252872501566,0.006714646855491926,0.12308615989498028,1.5419482899529837,0.6454091432961967
PC.Semantic Monitor/Discrimination,0.002080970656667192,3.0784261993020228,0.007012675749458493,0.193101824190934,1.3014577299510914,0.648176916750434
BD.Cognition.Memory,0.7413093382375491,-0.33011993847607424,0.011342454475233694,0.19603694256302648,1.2929251660432275,0.7733713936181058
RT.Button Press,2.7758308520319124e-97,20.931339919420047,0.005124520210380217,0.21689188585301017,1.2348350876722767,0.6000054060628995
PC.Cued Explicit Recognition/Recall,0.16835109982972535,1.3775214107546958,0.007688393665264471,0.21873462610871688,1.2298998080976764,0.6727561072310836
RT.Manipulate,0.7416043099976038,-0.3297295680289,0.010509067303262554,0.23989616497976685,1.1752463666654598,0.7552057387665636
Instruct.Generate,0.02589000818591824,2.2278576627969513,0.006995076659871188,0.2579237643111367,1.1313120737867985,0.6425064714808534
Instruct.Read,0.16841997377750131,1.3772985162815994,0.007346337159226261,0.2708251797341932,1.1011642457794713,0.6565382204578695
PC.Naming (Covert),0.7418836011031564,-0.3293599959228306,0.009717794420026033,0.2916603654597045,1.054486221819241,0.7350286324371541
PC.Visuospatial Attention,0.16848012469922308,1.3771039078091671,0.007048505882372328,0.3261858187282023,0.9818255091879373,0.6409971651518251
ST.Pseudowords,0.5989493516236898,0.5259119989651068,0.007602553405105454,0.33615960863744465,0.9617810307860247,0.6643169447666637
BD.Emotion.Disgust,0.7422757677999199,-0.3288411370367901,0.008603461464907248,0.38695283669463276,0.8651566104739975,0.7001944984717978
PC.Autobiographical Recall,0.7423253266699115,-0.3287755741309776,0.008462400572825055,0.4013526543725413,0.8392079009816249,0.6951163432355376
PC.Reward,0.0020859619778105785,3.077712296406166,0.0062203194903415,0.41035719891731404,0.8232651996744466,0.5963035851801146
RM.Hand,3.4910806615451245e-105,21.781289398853154,0.00507935442328904,0.42226827242211906,0.8024922452052724,0.566940715843927
RT.Grasp,0.7424816268267755,-0.32856880925143833,0.008017222020694062,0.4509888899913945,0.7537674206114158,0.6778884998653381
ST.Digits,0.16860669446583498,1.3766945822683594,0.006425583104706717,0.48099793900210897,0.7046984132734146,0.6032089117964918
PC.n-back,0.5992285626887577,0.5255102025863909,0.006523611118539635,0.5492146963493607,0.5989373006432753,0.6058866934492088
BD.Action.Imagination,0.742747039272815,-0.32821773510518926,0.007260476814096077,0.5527064514670713,0.5937094648627995,0.6436074814245452
PC.Reading (Overt),0.7427620874767298,-0.32819783131510677,0.007217552655508859,0.5592443524195698,0.5839642680991183,0.641440367753469
Instruct.Imagine,0.5992555938087845,0.5254713081811729,0.0064196334614863675,0.5761195661487553,0.5590617676340242,0.5991235900348941
PC.Taste,0.7428332975856022,-0.3281036456878123,0.0070144201953248955,0.5914636562380158,0.5367162114183673,0.6308117617491832
Instruct.Count,0.7428600325495958,-0.3280682855981054,0.0069381555237259165,0.6041311906825818,0.518468846524115,0.6266544576708566
BD.Cognition.Memory.Explicit,0.025949034961830538,2.2269736490213914,0.005904724683118498,0.6049763431632735,0.5172576068723136,0.5673564699251147
PC.Tactile Monitor/Discrimination,0.742922938222854,-0.32798508716948155,0.006758717710133369,0.6352493764381734,0.474351354068812,0.6164877489142014
PC.Face Monitor/Discrimination,0.16870324706858117,1.3763824870015045,0.005955448959117131,0.6438114006836635,0.46237642735397866,0.5685557105630281
PC.Word Generation (Overt),0.743013284342598,-0.32786560024606903,0.006501060379241517,0.6834136256635679,0.40780938129396693,0.6008635164307987
BD.Cognition.Language.Semantics,0.002090236627639134,3.077102142636867,0.005564517263944496,0.7488550639490863,0.3201494197759608,0.5380542163913697
ST.Tactile Stimulation,0.743129303872025,-0.32771216591520613,0.006170388987262238,0.7519974095260917,0.31600671731044017,0.5788012034251331
Contrast.Group,0.7431467204699531,-0.32768913335522926,0.006120780140112774,0.7630127825915378,0.30152684502327953,0.5752741774675972
PC.Reasoning/Problem Solving,0.7431719382320185,-0.3276557844627448,0.006048969380340505,0.779319154579253,0.2802064028788297,0.5700600623431916
BD.Perception.Gustation,0.7431881743128121,-0.32763431346748007,0.006002747950834549,0.7900473017471297,0.26624918979133505,0.5666339103484769
ST.Faces,0.16878282101802594,1.3761253740311128,0.005573143770430637,0.8142254405117813,0.23497847432223287,0.5350853088856137
PC.Word Generation (Covert),0.7432489013865099,-0.3275540078204027,0.00582997311827957,0.8318436259599004,0.21233764825887128,0.553314121037464
RT.Speech,0.025975522691904576,2.226577520903346,0.005431287042886437,0.8649905884858822,0.17002485663792613,0.5223217646615975
SM.Gustatory,0.743329017024633,-0.32744806591462683,0.00560235868551821,0.8913240641150704,0.13662898564679865,0.5344199013510615
ST.Food,0.7433532087623844,-0.3274160763932268,0.00553371964887236,0.9103332726610532,0.1126181781437668,0.5283926172123612
BD.Cognition.Language.Orthography,0.7433874345400177,-0.3273708191069598,0.005436699099949905,0.9381141839356579,0.0776403005253861,0.5195907857192568
RM.Oral/Facial,0.002092014239054981,3.076848747307361,0.005302589318011119,0.9425124396605343,0.07211242322786486,0.508595229079894
PC.Counting/Calculation,0.7434089840841392,-0.32734232414845543,0.005375671357344986,0.9561601619855934,0.05497276420753056,0.513876454789615
PC.Film Viewing,0.7434995136676472,-0.3272226197989902,0.005119911326078194,0.9630024481204371,-0.046386184138483014,0.48828970675063965
BD.Cognition.Language.Speech,0.16887196993121334,1.37583743121273,0.005153624436391471,0.9510974054754916,-0.06132873647151205,0.4908217493212039
