Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	-8.0	44.0	30.0	5.830653629758015	1608
PositiveTail 2	58.0	-54.0	18.0	5.306518902334261	3464
PositiveTail 2a	52.0	-54.0	38.0	3.625953972333136	
PositiveTail 3	4.0	48.0	-16.0	5.228764016785343	760
PositiveTail 4	0.0	-58.0	32.0	5.052042279893654	2160
PositiveTail 5	4.0	50.0	10.0	5.036330729209848	2744
PositiveTail 6	-32.0	18.0	-14.0	4.97004432291481	1816
PositiveTail 7	28.0	14.0	-16.0	4.864021402505854	1440
PositiveTail 8	10.0	8.0	-2.0	4.342355194535704	1432
