id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8	PositiveTail 9	PositiveTail 10	PositiveTail 11
Abe_2019-1	0.0824966356958763	2.7248027340259394e-12	0.0	0.012896211064376625	0.015574165902835488	0.0	4.381507171247634e-06	5.9369978354082835e-08	0.0	0.10154898606867574	0.0
Abu-Akel_2020-1	0.011472608287916899	0.0	0.0	0.0	0.011709935614466987	0.0	0.0	0.0	0.0	0.0	0.0
Alkire_2018-1	0.03398029466645232	0.056879739829398625	0.040638067356426846	0.012166107242528822	0.01992536612405515	0.058909614765488866	3.43382473228937e-06	0.0009287513636054664	0.10701616409867591	0.0015621497730286826	0.02048209444419124
Anders_2015-1	0.0	0.0	8.73503153866666e-11	8.625269574091995e-06	0.024275799794401847	4.2745570888624515e-12	0.0	0.0	0.0	0.0001093549317754468	0.0
Bault_2011-1	0.005353121071783265	0.028461765691774447	0.03723714709384103	0.004568843569423074	0.021921720082132442	0.048175908778055776	0.06759607592379517	0.0	1.4175680352624102e-07	1.6826271190191107e-05	0.12760192471778556
Bereczkei_2015-1	0.022053614650191435	0.07572096009927035	0.05369488858301545	3.0354582284189416e-08	0.021967959649717993	0.03568942980180184	0.08969724726691027	0.13449206338637518	0.00023284163660288335	1.3844040861677056e-06	3.4923529585470226e-11
Berns_2005-1	0.020823214735696503	0.0005628356940163592	0.002549896642486848	0.0009942857221532711	0.03224256755584738	0.024161073762458244	4.929335260861478e-08	0.0	0.030526174465305124	0.0	0.0
Beyer_2018-1	0.02945102310679273	8.608059260180999e-08	0.0	0.04933615033472362	0.0	0.0	0.0	0.0001756714558267097	0.0	0.07827901922390919	0.0
Bitsch_2018-1	0.021270081559607263	0.022458390410377827	0.03466650449196803	2.8433646499636396e-07	0.02250689646009267	0.0	0.04902937831608076	0.08642862444387171	0.0	6.992768941867018e-07	0.0
Brune_2013-1	0.0	0.017274452642772338	0.0201365301039197	0.0	4.717782395218331e-11	0.03958160706161551	0.054964315673688195	0.0	0.013443875347416836	0.0	1.3931363167231513e-05
Buades-Rotger_2017-1	1.5077746867474007e-07	0.0	0.0	0.00011919940907949498	2.9044244613672402e-06	0.0	0.0	0.0	0.0	0.0	0.0037854267160290136
Chaminade_2012-1	0.04954908335224539	0.0	0.0	0.0005622673715074686	0.01799004886321893	0.0	0.003105637834913739	0.0024254942056674304	0.0011357519286162186	1.0805828631137375e-06	0.0
Chaminade_2015-1	0.03428756990863549	9.495000369859336e-07	0.0	0.015243329341222514	0.023138498244144125	0.0	0.0	0.0	0.0	0.0	0.0
Chauvigne_2018a-1	3.2819298258454e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chauvigne_2018b-1	0.04005130194487514	0.0003062111682946727	0.003021039391643032	0.0	0.022556186171161466	0.0	0.0	0.0	4.787083154794865e-06	0.0	0.0
Corradi-DellAcqua_2013-1	4.847000159847465e-06	0.018422722215074246	0.014617738411045458	0.043392649756521025	0.001183209880684215	0.03661684131113219	6.394301527379298e-08	1.107901697463657e-07	2.9022875988101475e-06	0.0	0.00023479350396633553
Dedovic_2014-1	0.005089095431773808	5.1339158866776557e-05	0.00015064625151419873	0.0	0.0	0.0	0.0	2.016150617568838e-06	0.04060096354107549	0.0014864439565553053	9.425391374299897e-05
Delgado_2008-1	0.0	0.0	0.0	0.017542818133419964	0.0	0.0	0.0	1.0085902044092639e-06	0.0	3.54616252575323e-08	0.0
DiMenichi_2017-1	0.03458656098816212	0.017460924248822642	0.04319889298024109	0.0	0.001649524470867687	0.0	0.0001056735675751872	0.0	0.0	0.00548098611625428	0.0
Edmiston_2015-1	7.007856830340611e-05	0.009528704519328822	0.0	0.0065184820518146	0.0002352365231989737	0.0019590924257318412	0.0	0.0479740699343181	4.153965280912624e-11	1.0034323281572796e-05	0.0
Elliott_2006-1	0.0	0.0	3.041581080306368e-07	0.06477837297825545	0.022389263706277633	0.0	0.0	2.4136867216561665e-05	0.0	0.1006276771058521	0.0
Fareri_2012-1	0.03148845458201835	0.0	0.010542760163581645	0.024331958109703327	0.019017263612372545	0.05416873101836988	0.0	0.0	0.11050686816382412	0.005023693163512025	0.0
Fareri_2014-1	0.0	0.0	0.00035128065891286246	0.02107326048044627	0.020726822937281675	0.010300863637668026	0.0	9.896143702565546e-08	6.656118520324105e-07	0.048819000350545	0.0
Fareri_2015-1	0.0	9.622982004904333e-09	3.4419059756930375e-06	0.0	0.0017490681223352991	3.2021091614651504e-05	0.0	0.0	0.04237936502844098	0.0	0.0
Fett_2019-1	0.041063026927685854	0.1815916280118771	0.04859607835442294	0.0	0.030301559117838727	0.00033913778436937516	0.14782585288029945	0.10700171775282213	0.0	1.3677321733503577e-05	0.0
Fukui_2006-1	0.0	0.0	0.0	0.0	0.017472884544118376	0.0	0.0	0.0	0.0	0.0027142656424954813	0.0
Gallagher_2002-1	0.0	0.0	0.00012766026980781778	0.0	0.020233407316193764	0.0	0.0	0.0	0.0	0.0	0.0
Hu_2018-1	0.030395279908717075	0.04096360805700196	0.0	0.02654301169947529	4.247178904533637e-09	3.4976931228057345e-05	0.05453025725701101	0.10500716852466195	0.0	1.125587358405361e-06	0.0
Izuma_2010-1	0.0	0.0	3.8559832818653157e-08	0.0	0.010933651479802395	0.0	0.0	0.0	3.138237989946199e-05	0.0	0.0
Jo_2020-1	0.016616703124309948	0.00042875487896934224	0.04416210926822889	0.011719937802000317	0.005633723260734146	0.054415131350866675	0.019840912208508067	0.0	3.0137961918565525e-05	0.0	0.0
