Feature,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,lDLPFC_likeFwrd,lDLPFC_zRvrs,lDLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,Precuneus_likeFwrd,Precuneus_zRvrs,Precuneus_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Action.Execution,0.061090128351195,-6.729685225054981,0.1959086587211083,0.0460586696492804,-4.957862015868123,0.2454085533827026,0.0292752920090034,-4.434393200237721,0.2044059048617222,0.021402029165393,-1.789294855163873,0.3728021928479973,0.0170247887315246,-1.3857184406387433,0.3905444158552759,0.0244125277497321,-1.409714998034128,0.4085363202681285,0.0646797433902376,-5.295350604645543,0.2775540952792965,0.0291539110526527,-3.823020460507808,0.250869592557413,0.0464794505321464,-2.1320150313761497,0.4005430585656279
Action.Execution.Speech,0.0745918378339281,-1.5529725515274788,0.3852382917268413,0.0977561660995717,3.6447990488676,0.6760898740205203,0.0473508894234098,0.5611347690112934,0.5461791590493602,0.0272209423471421,0.2492854103056481,0.5278221418173081,0.0242754342469948,0.8304916829852628,0.5918664912753379,0.0171325001577401,-1.7998777332217746,0.1677258538995306,0.0645653374945945,-2.2426797152621263,0.311543984888481,0.023692950017159,-2.365223942448613,0.1212834710878002,0.0444203858707946,-1.1476321160792506,0.3881411422335394
Action.Imagination,0.0645381917574458,-1.9402245077818396,0.2896205839682554,0.0559414498878901,-0.768241900305226,0.4176596428611015,0.0357145514613965,-0.7759264616669016,0.3925204437731132,0.0268902414826279,0.1487122331994449,0.521330074251718,0.0147578228862829,-0.7937755350296767,0.3166386554621849,0.0372312588050876,1.1826908655289217,0.6275502556501174,0.0583392860686151,-2.199653185495106,0.2402959057863186,0.0391268329464055,-0.1810197687035667,0.4777179080824089,0.036548554477449,-1.624366912833251,0.2557090020698313
Action.Inhibition,0.133242130452378,4.677285322549007,0.6689358274293337,0.0776904849881817,1.6508267019368668,0.5876160242787527,0.0348969788679112,-1.2947773599127208,0.3737709877476932,0.0175003958967501,-1.6597586248201477,0.2484415845566056,0.0145326365550531,-1.2448721481799807,0.2991766889983049,0.0397116698631663,2.256560590762535,0.6569090801677793,0.1400492084997566,5.869226208606472,0.6985122444065206,0.0610669270787511,3.251960731093318,0.6763783573524398,0.0699182986410477,2.2537168687073583,0.6218438050499119
Action.Motor Learning,0.0812165838101491,-0.3596235284728523,0.4397412946815268,0.0325673013788575,-1.3965450146599288,0.0,0.0216677609980302,-1.1261213047955012,0.0,0.0129349967170059,-0.8622785619544063,0.0,0.0278374448925991,0.5940750864339597,0.6414792351107742,0.0496341806584748,1.3955601591150275,0.7195502220542379,0.0440577806959947,-1.644593473673814,0.0,0.0560688490760716,0.8199745129148651,0.6369719782517775,0.0270518713066316,-1.2653929743935066,0.0
Action.Observation,0.0695776320610494,-1.554413911109843,0.3422008353005266,0.0563778443189427,-0.7236463206869763,0.4223205781836517,0.0688448369530884,2.64285230073763,0.6916865479904569,0.0318494232397124,0.8021934633698293,0.5980522442826824,0.0101485805253382,-1.4746987744547626,0.0,0.0188903207873757,-1.1555545060218164,0.2520817309300071,0.0726812720312322,-1.1175099676773952,0.3931057860290475,0.0629553121328128,2.340875986311183,0.6807549896143773,0.0695883712997005,1.4533198431079468,0.6158664451646286
Action.Preparation,0.0849700681684487,-0.2576156474887217,0.4645598745698519,0.0718865704695664,0.3524961579735265,0.5491106885845628,0.0609726980172324,1.087575741178722,0.647399336000681,0.0653205993286965,3.099877876386527,0.8057424378873761,0.0100591715976331,-0.8832403994085595,0.0,0.0402539880272673,0.9227145995743706,0.6537436602767988,0.0964843074154815,0.38150570423927,0.5454936699781229,0.0597892660645697,1.19068509028862,0.6602135602048789,0.0532717395065573,-0.0348613705889026,0.4939915556999025
Action.Rest,0.0456036745406824,-1.5190807472249563,0.0,0.1409134999429419,2.973281380269567,0.7713643633713279,0.0433270569439689,0.007124618906983,0.5017449134127873,0.0129265091863517,-0.7812498721327137,0.0,0.0100393700787401,-0.6864725388058052,0.0,0.0140419947506561,-0.8151923014948692,0.0,0.1523964395754878,2.199593483296656,0.7132427271706167,0.0204724409448818,-0.990863998736072,0.0,0.0270341207349081,-1.1464834486918762,0.0
Cognition,0.1045170058814425,3.5490929180263384,0.5856791814559607,0.0691489481762369,1.296871789575288,0.5405449515680211,0.0343670194242377,-3.2558657201030554,0.3310135177926803,0.0319480988495073,2.9261807949419136,0.6273718207509084,0.0225992977093329,1.3842229207289052,0.5752870549711607,0.0238668388536346,-1.8817557368342384,0.3858533932739106,0.1022639845483155,3.841258717325731,0.5932853380545595,0.0405046464685549,-0.1203472848758444,0.4948404366473286,0.0493470438012691,-1.5162864486996117,0.439103757865642
Cognition.Attention,0.1125449628689104,6.286225033379043,0.632870750308944,0.070519620291259,1.9091064957617836,0.5551780232866509,0.0480177644533231,1.991801493946239,0.5697576902529942,0.0288138544392503,1.6036129306761324,0.5729686042897109,0.0167655252666244,-1.94216127615708,0.3657550463930523,0.0289178243560457,0.4655332270902955,0.5219735564057327,0.1000369734507694,3.618318934338092,0.5846894805001318,0.0506080556264133,4.1359869362610295,0.6338017001659388,0.0633480606135299,3.4966809610701444,0.6031368095529492
Cognition.Language,0.0800331870979474,-0.5841005342604758,0.4308557471101139,0.0412508808219489,-1.47888406274851,0.2089819534371125,0.0474177710090241,0.3214844632173554,0.5454087869418278,0.0215409269656536,-0.4117009344410374,0.4002004959636996,0.0357500056827222,1.730550854522312,0.7234144015259895,0.0397710999477189,1.0994106724176025,0.6502729117252022,0.0613415770690791,-1.440126589965426,0.2810716667901874,0.0462312186029595,0.421209374966609,0.5594070359171031,0.0357136362603141,-1.2411546166071274,0.2413836998376985
Cognition.Language.Orthography,0.0741232192341628,-1.6122229404013084,0.3811030856792833,0.0801013559019343,1.7020910953973174,0.5995229210457949,0.0717421803702207,3.87546908914677,0.7087526105942663,0.0352562501797224,1.6498687606631872,0.64098904283062,0.0267937815271036,1.3339540988432803,0.6325778436771871,0.0336368561963008,0.9423097195841764,0.5878674030663322,0.1028527062797677,1.4674799566896233,0.5767668741447048,0.0457157191698411,0.6820216464657233,0.5561266294227188,0.0524127456900661,-0.1822800067230133,0.4850676773145642
Cognition.Language.Phonology,0.0951019559552412,0.4282403886293249,0.523135862784036,0.0817318941439002,2.018384899119722,0.6087127222758429,0.0802604820562599,5.388260998799991,0.7438466728304056,0.039859824767589,2.624944713705938,0.6864853079296928,0.0175406226058634,-0.5224338227969891,0.425451635033158,0.0216389832616011,-1.1386462979092091,0.3448723295796839,0.1080117418818297,2.110034783806181,0.5987924626396853,0.0403251145508683,-0.0741098987325567,0.4935013262599469,0.0567252423718547,0.3687452467177127,0.5262339131664545
Cognition.Language.Semantics,0.0804630163879057,-2.541587048259072,0.4167496526612543,0.0721521703948155,2.0558528543537062,0.5643428694028213,0.0515548808376197,2.876921333169495,0.603972389131718,0.0255008197471097,-0.1208578383130413,0.4931155321321155,0.0227946867721665,1.3834927888395248,0.5779264627007922,0.0267493508869452,-0.5288931222395924,0.4700992690457479,0.0865807749952503,-0.2989100700832791,0.491043999804951,0.0386750001759114,-0.7571675550362906,0.4644879579722999,0.0502221760943448,-1.138367450678654,0.4530765647274752
Cognition.Language.Speech,0.0740027268486957,-3.260284334634348,0.3646007573223177,0.0753342183631732,2.346071529367449,0.5820045341106094,0.0612444237140157,4.921687925003146,0.6745976726429115,0.0309610945666343,1.8119422577356483,0.5991308546595847,0.0232070371832131,1.2605109820299027,0.581320442586876,0.0244442849796084,-1.1931851980557977,0.413922675721429,0.0846565725425472,-0.613589326291389,0.4780748164483731,0.0452951096121416,1.2516989230846924,0.5584512285927029,0.0585652948704148,1.1424381592674808,0.5470897439562818
Cognition.Language.Syntax,0.0512356009260034,-2.742905484123116,0.1027246250578404,0.0484471313418681,-1.3264939500527948,0.3259114264741864,0.0270570105709424,-1.575527632399974,0.1945210421874597,0.0234436448832733,-0.2922988034196339,0.4490050861068975,0.0413166262237469,3.0208621494133228,0.7643157308490709,0.0245697710093994,-0.4130067916740062,0.4284254739470995,0.075630351713943,-0.853791327504527,0.417543309700082,0.0362584720943854,-0.458123440343524,0.43546991288294,0.0376858282431037,-1.4268148066235389,0.2793176183251304
Cognition.Memory,0.0719261243009976,-1.0095271769216096,0.3658724799845664,0.0501038385576384,-0.9169818760421876,0.3501500115393491,0.0304566121340789,-0.955696162747778,0.2880139716769809,0.0303964829024842,0.4453469285675289,0.5771674211587476,0.0187903848733354,-0.1338813920561126,0.4668307692307692,0.0141049301344582,-1.28618857040259,0.0,0.0877563008496722,-0.0019669717012674,0.4997891740894956,0.0379762350775435,-0.2195945766267414,0.4619694293891968,0.0793913996697517,1.7233914250737623,0.6629380407235864
Cognition.Memory.Explicit,0.103744429404093,2.4778285332758467,0.5731776341267241,0.0735252095466451,1.9478747230660076,0.5695467875491866,0.0402818330463938,-0.7920000408979884,0.4574136587899246,0.0308438540512192,1.7786408943304706,0.597378674076158,0.0200559282361281,0.0149320036795874,0.5011112493999254,0.0404823578579813,4.207602117709245,0.6827218674300816,0.0936091898607428,1.142902206184454,0.5368196899915813,0.0359382778211237,-1.3723165868725853,0.4194796689885098,0.0529997655987383,-0.2230290827654474,0.4898729038783717
Cognition.Memory.Working,0.1030694542400012,2.281437718666325,0.5692181275618323,0.0696809548620741,1.0498117641862696,0.5403663024491834,0.0595544402928893,4.354941751784682,0.6616560112271946,0.027612408967359,0.626605494351197,0.5391114060734337,0.0180619061581253,-0.7549328573276914,0.4363277393879565,0.0231796443486461,-1.579045559694582,0.3777697057755176,0.0909082016546346,0.5949981998807176,0.520145193034548,0.0510372173926825,2.790214991193732,0.617659902762817,0.0524726654436528,-0.3429205463616306,0.4839480769548422
Cognition.Music,0.0757554025626314,-0.977857633110454,0.397601767118965,0.0566360680818512,-0.6211138394874545,0.4254600709100118,0.0575731497418244,1.312040059088342,0.6278026905829597,0.0189870593485051,-0.7935161629035341,0.3172737955346651,0.0279929240772614,1.0546806916042786,0.645602049530316,0.0141534391534391,-1.5547185692835437,0.0,0.0801260597947345,-0.5018413014471299,0.4510964148973198,0.0682985911901574,2.5722167317320874,0.7056188165017733,0.0808703066233186,2.2118074389991285,0.6704174836681808
Cognition.Reasoning,0.0999857920996693,0.974313784251994,0.5480230680507496,0.0688572665721933,0.4975835506574874,0.5305130770330142,0.0532457979058415,1.5329074201814312,0.6003003349890262,0.053151386100614,5.3457771525402205,0.773185676346531,0.0235989534128483,0.7910544686963158,0.5804761718597287,0.0454332979058415,3.2700422367094344,0.7035252071262252,0.0939379010195244,0.6719320261666403,0.5346969642407,0.058680781077783,2.7927614841726056,0.6614224397708751,0.0587684272161864,0.6663152309098553,0.5438884760698699
Cognition.Social Cognition,0.1205728399439274,3.8979889468629874,0.6339165690602757,0.0612725991241495,-0.5561564046971246,0.4677852872552426,0.0270857069855117,-2.993402285763901,0.1763686680303212,0.0134397598580979,-2.943377665616844,0.0,0.053113753668569,8.93442855901225,0.8394433490685669,0.0664201110152235,8.805981322994034,0.8151164844654668,0.083880413991012,-0.5227351002653403,0.4745913295291774,0.0395749196325912,-0.2382345840981944,0.4828381316292246,0.0966935731276066,7.164071064608986,0.7410632231042843
Cognition.Soma,0.1299066276907673,2.1069018939905853,0.6523590383209324,0.0831523099477937,1.1518743785762606,0.611497836428629,0.0637995691196452,1.5770209033122125,0.6641562308433313,0.0129878691983122,-1.254239201427238,0.0,0.0269043213187441,0.7641437918278453,0.6299788179590481,0.030925945791318,0.2757187701136363,0.5480560774678422,0.0778724612028892,-0.5448524174800254,0.4353054284033348,0.037386916255453,-0.2697930474699778,0.4533444916014106,0.0439797432596724,-0.6831432724435857,0.3853854362518421
Cognition.Space,0.0981037720342486,0.6537746235366103,0.5381549553208773,0.0635338476940931,-0.1449421733753291,0.488808749167026,0.0433242680985088,0.0190230124793389,0.5017772114546308,0.0253199812054105,-0.075304511829126,0.4906149079523286,0.0132633019038653,-1.2642032266637986,0.2341490893158916,0.0325335671034914,0.7204357949006603,0.5727481500382751,0.0934611597855557,0.5250471919631698,0.5316587244134353,0.0360438551488375,-0.6329177773162603,0.4308071444200053,0.0488040863289285,-0.5921378957620731,0.4454366851223432
Cognition.Time,0.0788716328858471,-0.5678480012825792,0.4226276560240294,0.0547307771050861,-0.5585675001423371,0.4060278950462246,0.0658974583954841,1.5131398311796274,0.6744485375704585,0.012963937878389,-1.09435981973145,0.0,0.0100684390629112,-0.9615975510719752,0.0,0.0251279576496738,-0.235614399966232,0.4421812256299831,0.1104281828551373,1.0827072051766418,0.6037106193635533,0.0315770231932379,-0.6324023458560535,0.3518732922706433,0.0823389195987248,1.7042879781433622,0.6747180534588403
