Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	54.0	-46.0	14.0	3.7190164854556804	4912
PositiveTail 2	44.0	24.0	-6.0	3.7190164854556804	3568
PositiveTail 3	4.0	30.0	36.0	3.7190164854556804	2552
PositiveTail 4	-48.0	-62.0	12.0	2.8943040530514264	1376
PositiveTail 5	-48.0	6.0	2.0	2.08797599637805	1024
PositiveTail 6	2.0	52.0	20.0	1.9773684281819461	976
PositiveTail 7	-32.0	22.0	-6.0	0.6535527407826496	568
PositiveTail 8	48.0	-70.0	-2.0	0.544350938804454	544
