Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	4.0	30.0	36.0	5.906688114177882	2552
PositiveTail 2	56.0	-40.0	10.0	5.615418123326567	4896
PositiveTail 3	52.0	22.0	2.0	5.01783306970973	3552
PositiveTail 3a	32.0	20.0	-18.0	4.302545437187697	
PositiveTail 3b	50.0	18.0	-6.0	3.374889067483028	
PositiveTail 4	-50.0	-58.0	12.0	4.098923749179902	1368
PositiveTail 5	2.0	56.0	20.0	4.0705772121252775	976
PositiveTail 6	-48.0	2.0	4.0	3.9405585718328515	1024
