id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6	PositiveTail 7	PositiveTail 8
Assaf_2013-1	0.044193241386326	1.7850866025114473e-06	3.476417065359009e-05	0.0778939683204046	0.0	0.03830251262005998	0.00011990980498008984	3.8902329070529787e-10
Bach_2019-1	0.0332943869796637	0.04932677063134181	0.0056648033232457795	0.03958948992607781	1.0581932913256153e-08	0.00022019145819610837	0.0045899118516398475	0.0
Brandi_2021-1	0.029334754636590667	0.04565332986515448	0.00037797235280847316	0.09224578151763932	0.0	0.1439312898758478	0.0	0.06187178962056058
Caruana_2015-1	0.035678628778197434	0.07173298256271333	0.03708121481743407	0.009013966721793581	2.851880944837286e-05	0.03308359375074191	0.08698483601111325	0.1785859199624678
Cavallo_2015-1	0.03897119068569399	0.06634406981398912	0.002704245743924864	2.4369477559935577e-10	0.12128815786139834	0.15010800687428866	0.005986938786036799	4.274229869291928e-05
Dziura_2021-1	0.0	0.02566964380277696	0.00025888042794056245	0.05101917544924926	0.0	0.1528498589374245	0.0	0.0
FeldmanHall_2012-1	0.016556236913084683	0.08151302349451252	0.04360173585351987	0.0656361408073141	2.216491511538351e-05	5.905320772658474e-05	0.17028563900062524	0.17216223731936942
Guionnet_2012-1	0.0	0.0	0.0	0.0	0.1996353331087941	0.0	1.2041940554316941e-06	0.0
Hallam_2014-1	0.0	0.03600798887169631	0.11110342777592076	0.0013882381891472673	0.059600194810925364	0.08451240237930101	2.675679326902895e-05	0.0
Jasmin_2019-1	4.8660951091497854e-05	0.020279503061382015	0.051275747374707775	0.0017614183248072564	1.0993183879757715e-06	0.011574904461527024	3.5255058579841366e-08	0.0
Jensen_2014-1	0.04720443582150967	0.0427635462119755	0.0	0.002388797913762416	0.0	0.0	0.0	0.0
Koike_2019a-1	0.0	0.0	0.015668524400101937	0.0	0.0	0.0	0.0	0.0
Koike_2019b-1	0.0	0.08419744903141921	0.19601049080039867	0.053689608158511766	0.054043734383906736	0.0012783796083968655	0.12921381666271503	0.0
Kokal_2009-1	0.1032648157777639	0.0	1.584811931927611e-07	0.06970906676308061	6.27544212252239e-05	0.0	0.0022922711922255833	0.00035278945178029986
Kuhlen_2017-1	0.0	2.6429410552363615e-07	0.0	0.0	0.0	0.0	0.0	0.0
Langavant_2011-1	0.05449400743205418	0.0	5.057777825741525e-07	0.0	0.0	0.0	0.0	0.004485341139361993
Miyata_2021-1	0.10366544532234752	0.07665521317108596	0.08335706348584201	0.03946367361483124	1.9959954071502306e-09	0.01986181677522812	0.0	0.06942344666866425
Molenberghs_2014-1	3.556266110764368e-06	0.06108914787658399	6.281689859299262e-06	0.0	0.00011800147457826336	0.047148974581475114	0.00021007271372640751	0.0
Nagy_2010-1	0.0	0.006428695780651228	0.0	0.0030851515778542223	0.0	0.0	0.0	0.0
Noordzij_2009_Study1-1	0.0424105234782606	0.0	2.7340090682127997e-07	0.0	0.0	0.1407977173657222	0.0	0.0
Noordzij_2009_Study2-1	0.029983732814524332	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Redcay_2010_Study2-1	0.060162550631098564	0.04815322333496434	0.0001708539139592264	0.14634772062169854	0.0	4.255052655024606e-06	0.0	0.17919950484531152
Redcay_2012-1	0.10867546585048642	0.03164382283669348	0.001791227651550756	0.12776503222216654	0.10488573844380901	0.13273277119776047	1.5752516122499533e-08	0.0004010240064295381
Redcay_2013-1	0.05291524185206606	0.042561339651120314	0.06916810457696729	0.026093306446649523	0.14046352889250405	0.02276893480473564	3.3861206144413407e-06	0.0019420441819530986
Saito_2010-1	0.05320385696132143	0.0012630631050187901	0.08093751543076798	0.0	7.124421820547955e-08	0.0	0.18932418884432148	0.014071961791701684
Schilbach_2009-1	0.0	0.0	1.1071232674622595e-08	0.0	0.0	0.00019730938840376068	0.0	0.0
Schippers_2009-1	0.04671146033051254	0.0	0.0	0.012582571617945508	0.03413754326337533	0.0	3.34242984776966e-05	0.2742487082592368
Shpurov_2020-1	0.03027645367521254	0.04430999662881262	2.0579434694664644e-05	0.0001744948858639389	3.3163472081335077e-09	0.013108542834281383	0.0	0.0
Spitzer_2007-1	0.0	0.0008897346287496301	0.0	0.0	0.0	0.0	6.272700434881894e-06	0.0
Tamir_2015-1	0.0	0.0	0.0	0.0	5.4687695344446396e-11	0.0	0.02559877918955298	0.0
Tomlin_2013-1	0.0	0.06451195966605688	0.12810649510946467	1.1425051918746095e-09	1.6378363738769192e-07	1.5863940268335255e-05	0.29234818396545514	0.0
Tsoi_2016-1	0.016619687703492595	0.07783754831905262	0.11467758106680756	0.04099884701709085	8.1042749134827e-09	2.8821538731739006e-05	0.08512864513064	1.516302622938572e-07
Wang_2019-1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Yoo_2020-1	0.00037368654667127224	0.011173232684390437	0.04558438927839112	0.0005450434802918976	0.10736057189935949	2.578737739437738e-07	8.489559990451137e-05	0.0031514462699688208
Yoshie_2016-1	0.0023376975947295457	0.0	0.0	0.0	2.744784371976061e-07	0.0	0.0	0.0
Zimmermann_2019-1	0.03994534789136805	0.0016053075700742806	0.0032166251927087173	0.13086610956613667	0.17096818718377793	0.0	7.854483928072827e-05	0.0
deQuervain_2004-1	2.5990297802271245e-08	5.332724794882701e-13	0.0	6.0225198594315724e-09	0.0	3.251121413886338e-08	0.0	0.03198104859457309
