id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6
Assaf_2013-1	3.476417065359009e-05	0.04421305523026218	1.7931275331533907e-06	0.07683129600712423	0.03830251262005998	0.0
Bach_2019-1	0.0056648033232457795	0.03340273870856832	0.04953538076372758	0.039821007411025636	0.00022019145819610837	1.0581932913256153e-08
Brandi_2021-1	0.00037797235280847316	0.02938339533082676	0.0458555428679638	0.09261911651318672	0.1439312898758478	0.0
Caruana_2015-1	0.03708121481743407	0.035795084843466274	0.07179077295434705	0.009065144401677598	0.03308359375074191	2.851880944837286e-05
Cavallo_2015-1	0.002704245743924864	0.039097878000140106	0.06607606983996478	2.4511989124613565e-10	0.15010800687428866	0.12128815786139834
Dziura_2021-1	0.00025888042794056245	0.0	0.024829768207077357	0.05127527221378776	0.1528498589374245	0.0
FeldmanHall_2012-1	0.04360173585351987	0.016402191597370993	0.08090168016282996	0.0657359569290147	5.905320772658474e-05	2.216491511538351e-05
Guionnet_2012-1	0.0	0.0	0.0	0.0	0.0	0.1996353331087941
Hallam_2014-1	0.11110342777592076	0.0	0.03599581491632201	0.0013960425471313694	0.08451240237930101	0.059600194810925364
Jasmin_2019-1	0.051275747374707775	4.8819973807483146e-05	0.020370849863264585	0.0017717190167651936	0.011574904461527024	1.0993183879757715e-06
Jensen_2014-1	0.0	0.04732064049422897	0.04286195082508011	0.0023999879530622213	0.0	0.0
Koike_2019a-1	0.015668524400101937	0.0	0.0	0.0	0.0	0.0
Koike_2019b-1	0.19601049080039867	0.0	0.08441140111306641	0.0539055522922756	0.0012783796083968655	0.054043734383906736
Kokal_2009-1	1.584811931927611e-07	0.10305899246734264	0.0	0.06885162504249938	0.0	6.27544212252239e-05
Kuhlen_2017-1	0.0	0.0	2.654846195124814e-07	0.0	0.0	0.0
Langavant_2011-1	5.057777825741525e-07	0.053979594353349515	0.0	0.0	0.0	0.0
Miyata_2021-1	0.08335706348584201	0.1034135483134727	0.0769786728190114	0.03969147461203433	0.01986181677522812	1.9959954071502306e-09
Molenberghs_2014-1	6.281689859299262e-06	3.5678878954400683e-06	0.061066868059143055	0.0	0.047148974581475114	0.00011800147457826336
Nagy_2010-1	0.0	0.0	0.00645765386975326	0.0031013691490223297	0.0	0.0
Noordzij_2009_Study1-1	2.7340090682127997e-07	0.04254679982249527	0.0	0.0	0.1407977173657222	0.0
Noordzij_2009_Study2-1	0.0	0.03008139360582259	0.0	0.0	0.0	0.0
Redcay_2010_Study2-1	0.0001708539139592264	0.06003183686817751	0.047783556005086124	0.14687994927523315	4.255052655024606e-06	0.0
Redcay_2012-1	0.001791227651550756	0.10870215290527944	0.031758416353715416	0.12800496093479619	0.13273277119776047	0.10488573844380901
Redcay_2013-1	0.06916810457696729	0.05294079907436314	0.04268617132069324	0.026226073992684003	0.02276893480473564	0.14046352889250405
Saito_2010-1	0.08093751543076798	0.05318600577884209	0.0012331675011574598	0.0	0.0	7.124421820547955e-08
Schilbach_2009-1	1.1071232674622595e-08	0.0	0.0	0.0	0.00019730938840376068	0.0
Schippers_2009-1	0.0	0.04686217313761501	0.0	0.0123937264297411	0.0	0.03413754326337533
Shpurov_2020-1	2.0579434694664644e-05	0.030375368784914716	0.044509591102498386	0.00017551532379296778	0.013108542834281383	3.3163472081335077e-09
Spitzer_2007-1	0.0	0.0	0.0007775203631873956	0.0	0.0	0.0
Tamir_2015-1	0.0	0.0	0.0	0.0	0.0	5.4687695344446396e-11
Tomlin_2013-1	0.12810649510946467	0.0	0.06469808363037036	1.1491865087861571e-09	1.5863940268335255e-05	1.6378363738769192e-07
Tsoi_2016-1	0.11467758106680756	0.01667400040840597	0.07818709755627262	0.04123860635637208	2.8821538731739006e-05	8.1042749134827e-09
Wang_2019-1	0.0	0.0	0.0	0.0	0.0	0.0
Yoo_2020-1	0.04558438927839112	0.000374907744536211	0.011223433132957652	0.0005476685653993305	2.578737739437738e-07	0.10736057189935949
Yoshie_2016-1	0.0	0.0023453371293528447	0.0	0.0	0.0	2.744784371976061e-07
Zimmermann_2019-1	0.0032166251927087173	0.04007548960587461	0.001611910523653097	0.13032197669441906	0.0	0.17096818718377793
deQuervain_2004-1	0.0	2.6075233416004157e-08	5.356746077742534e-13	6.057739273814213e-09	3.251121413886338e-08	0.0
