Feature,aMPFC_likeFwrd,aMPFC_zRvrs,aMPFC_probRvrs,dACC_likeFwrd,dACC_zRvrs,dACC_probRvrs,dMPFC_likeFwrd,dMPFC_zRvrs,dMPFC_probRvrs,lAI_likeFwrd,lAI_zRvrs,lAI_probRvrs,ldLPFC_likeFwrd,ldLPFC_zRvrs,ldLPFC_probRvrs,lIPL_likeFwrd,lIPL_zRvrs,lIPL_probRvrs,lTPJ_likeFwrd,lTPJ_zRvrs,lTPJ_probRvrs,pACC_likeFwrd,pACC_zRvrs,pACC_probRvrs,PCC_likeFwrd,PCC_zRvrs,PCC_probRvrs,rAI_likeFwrd,rAI_zRvrs,rAI_probRvrs,rdLPFC_likeFwrd,rdLPFC_zRvrs,rdLPFC_probRvrs,rIFG_likeFwrd,rIFG_zRvrs,rIFG_probRvrs,rIPL_likeFwrd,rIPL_zRvrs,rIPL_probRvrs,rTPJ_likeFwrd,rTPJ_zRvrs,rTPJ_probRvrs
Delay Discounting,0.0,-0.0,0.0,0.0,-0.0,0.0,1.291770719525519,0.0,0.0006621564038358,0.0,-0.0,0.0,0.5340975090345895,-0.0,0.0002565620985636,1.3630954831803022,0.0,0.0006850353933875,2.7773070469798657,0.0,0.0015117741984438,4.443691275167786,0.0,0.0023920057944345,0.0,-0.0,0.0,1.633710027635215,0.0,0.000875065566489,1.306968022108172,0.0,0.0006418792491761,0.0,-0.0,0.0,3.26742005527043,0.0,0.0017329237967698,0.0,-0.0,0.0
Delayed Match to Sample,0.546660722099753,-0.0,0.0015344589216905,1.9031891806435848,0.0,0.0051319686000734,2.0912950880327767,2.948378356770912,0.0055896586763855,1.188118101211024,1.4026884830311266,0.0029532141222529,1.6058158711680248,2.9665899120501864,0.0040221894006311,0.7881304889168219,-0.1563514867822323,0.0020652835450625,0.6423263484672099,-0.0,0.0018231130280474,0.0,-0.0,0.0,0.0,-0.0,0.0,1.8891951425506173,2.228073575943367,0.005276394571041,1.813627336848593,2.330413108478953,0.0046444174909622,0.0,-0.0,0.0,1.511356114040494,0.0,0.0041796135345564,0.0,-0.0,0.0
Digit/Numerical,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Divided Auditory Attention,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,1.9136127167630057,0.0,0.0005212625200716,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,6.130648148148148,0.0,0.0018334609658212,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Drawing,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,4.522609289617487,0.0,0.0022859536474517,0.0,-0.0,0.0,6.700161910544424,0.0,0.0032561465239994,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,5.168696330991413,0.0,0.0025753247083626
Driving,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,6.958591697320021,0.0,0.0004738750182469,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Emotion Induction,4.831086011149052,3.254589289638029,0.0133130177364572,0.8409668241629832,-0.0,0.0022262566964141,0.0,-0.0,0.0,1.3124915752832689,0.0620716902414929,0.0032027732571845,1.3099675530231083,0.0633062896448534,0.003221229405246,0.5572050123288478,-0.0,0.0014334776162499,1.1353052126200274,0.0,0.0031634781139949,1.816488340192044,0.0,0.0050054154827037,0.0,-0.0,0.0,0.6678265956588396,-0.0,0.0018311271423656,1.6027838295812151,0.0,0.004029512394152,0.8568341227320961,-0.0,0.0021577718752949,2.6713063826353585,0.0,0.007252493804889,0.0,-0.0,0.0
Encoding,0.8600394876990621,-0.0,0.0021936369322152,0.7485528874417763,-0.0,0.0018341442212879,0.4700215804866968,-0.0,0.0011415547142355,0.0,-0.0,0.0,1.5546867662252275,1.1408830617369723,0.0035384953936901,0.9919473845854212,-0.0,0.0023619959822472,0.0,-0.0,0.0,3.233748473748474,0.0,0.0082476148393254,0.0,-0.0,0.0,0.0,-0.0,0.0,0.4755512461394814,-0.0,0.0011065969892041,0.7626765268274702,-0.0,0.0017777216896437,0.0,-0.0,0.0,1.1549101691958834,0.0,0.0029362136409142
Episodic Recall,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,3.0316391941391942,0.0,0.0004160843829766,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Estimation,0.0,-0.0,0.0,0.0,-0.0,0.0,6.935994133668553,0.0,0.0009311663199373,0.0,-0.0,0.0,5.73553361053361,0.0,0.0007215877812882,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,17.54398516163222,0.0,0.0024611453684693,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
Face Monitor/Discrimination,3.7028919765360895,3.929668490833735,0.0210250990276141,1.0742958203530633,0.0,0.0058598368941821,0.8994104542490763,-0.0,0.0048628123885174,0.8942115498892549,-0.6672245947422918,0.0044960922194652,1.0226469828360891,0.3177013145913274,0.005181459691777,0.5931694713605871,-1.5070285760080886,0.003144270917566,1.4502993574766356,0.0,0.0083267422827672,0.7734929906542056,-0.0,0.0043916646215298,1.4323944271374176,0.0,0.0079071573973792,0.5687448460692688,-0.0,0.0032131983114842,1.5924855689939528,0.9677664528058296,0.0082493231309132,0.3648551842708517,-0.0,0.0018931915719704,1.1374896921385376,0.0,0.0063632121191248,2.20997997329773,0.0,0.0125077281801012
Figurative Language,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,3.743801419241752,0.0,0.0014783054769746,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,7.1792897804283005,0.0,0.0027703491491763,11.513955308234069,0.0,0.0044504998824538,0.0,-0.0,0.0,0.0,-0.0,0.0
Film Viewing,3.220724007432702,3.455573536130048,0.008256135030361,0.5606445494419888,-0.0,0.0013806243078537,0.3520326240682255,-0.0,0.0008592880368545,1.5749898903399224,2.154867454612828,0.003575188752206,0.7277597516795048,-0.1950425838027333,0.0016647180388868,0.9286750205480796,-0.3643745887410096,0.0022224459166666,0.756870141746685,-0.0,0.0019618468923999,1.210992226794696,0.0,0.0031041336326844,1.6819336483259664,0.0,0.004191726030684,1.3356531913176792,0.0,0.003406748171843,2.493219290459668,3.2631330248189325,0.005830818968282,1.7136682454641925,0.0,0.0040144593028744,0.8904354608784528,-0.0,0.0022488352883376,0.8649944477104969,-0.0,0.0022101903866922
