Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	56.0	-48.0	16.0	3.7190164854556804	3712
PositiveTail 2	42.0	22.0	-4.0	3.7190164854556804	2376
PositiveTail 3	4.0	42.0	20.0	3.1946510537632724	1544
PositiveTail 4	4.0	28.0	36.0	3.121389149359862	1480
PositiveTail 5	52.0	22.0	22.0	2.037499619838575	936
