id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5	PositiveTail 6
Alkire_2018-1	0.07018343094458004	0.11899455807791001	0.06157826727367238	4.234105386760764e-06	0.0011481567486607846	0.1844524711956008
Anders_2015-1	0.0	0.0	0.0	0.0	0.0	0.0
Bereczkei_2015-1	0.0	0.06873460837477204	0.09011518237442087	0.1707180454168491	0.18410665362289413	1.0333215436107514e-05
Berns_2005-1	0.023251367778256423	0.004841746129966647	0.0009180346913356596	2.5323220259524468e-05	0.0	0.057717246483271076
Brune_2013-1	0.0	0.037087515922384406	0.025549008005429058	0.06627466552084864	3.960355036243586e-07	0.1151084288059488
Caruana_2015-1	0.050204060859820494	0.09236646773462816	0.12921951888088565	6.967912800112633e-06	4.969969771991863e-06	0.0019247982227873432
Fett_2019-1	0.00025993839506588786	0.07325946384371572	0.23440692289756013	0.22654356119900892	0.1756803525241154	0.0028976551184926812
Hu_2018-1	0.03466756828586671	0.0	0.05435563745923091	0.07870916137418121	0.15813127193114254	0.0
Kokal_2009-1	0.12850529615864856	0.0	0.0	0.051323527172290315	0.05708257232474285	0.23914810977300155
Lemmers-Jansen_2020-1	0.0	0.13068125070581316	0.07891947846285642	0.11514834434267399	0.1824269882536606	1.6286663892850494e-05
Miyata_2021-1	0.1267286755253434	0.04482155731886155	0.09973626228346522	0.00038877262830027933	5.827082217210219e-06	0.0
Molenberghs_2014-1	2.3961570690695398e-05	0.07950333680282824	0.0	0.0	0.0	0.0
Nagy_2010-1	0.0	0.0005798753675083572	0.0028683715359367977	0.0	4.827009341825343e-05	0.0
Noordzij_2009_Study2-1	0.05445702331363458	0.0	0.0	0.0	0.0	0.0
Ozdem_2017-1	3.338706759997094e-05	0.0	0.0	0.0	0.0	0.0
Redcay_2010_Study2-1	0.08371893237255185	0.05539669542678224	0.0	0.0	0.0	0.0021170818189489436
Redcay_2012-1	0.10662220762904592	0.015401619409894375	1.8657054884742397e-07	3.1745640670545304e-10	0.010923534459060441	0.1556267659894327
Redcay_2013-1	0.05297883953218147	0.04096399358623524	1.85309988624793e-06	7.531700404193311e-08	0.008603401960970189	0.10557483664213378
Rice_2016a-1	0.0	0.0	0.0	0.0	0.001586470732084384	0.017622828603820084
Rice_2016b-1	3.1422300128763135e-05	0.0	0.0	0.0	0.004504131541390905	1.1864431025165878e-05
Schippers_2009-1	0.06674303791271824	0.0	0.028842770758970696	0.08986806624427543	3.5269715673185646e-06	0.0
Sperduti_2014-1	0.0004384288462616485	0.0	0.0	0.0	0.0	0.0
Yoshioka_2021-1	0.19237227152958922	0.22791724791205534	0.18550007174917105	0.19279525211818765	0.2066765623824176	0.10960315729501136
