id	PositiveTail 1	PositiveTail 2	PositiveTail 3	PositiveTail 4	PositiveTail 5
Alkire_2018-1	0.11899455807791001	0.07018343094458004	0.0011481567486607846	4.234105386760764e-06	0.06157826727367238
Anders_2015-1	0.0	0.0	0.0	0.0	0.0
Bereczkei_2015-1	0.06873460837477204	0.0	0.18410665362289413	0.1707180454168491	0.09011518237442087
Berns_2005-1	0.004841746129966647	0.023251367778256423	0.0	2.5323220259524468e-05	0.0009180346913356596
Brune_2013-1	0.037087515922384406	0.0	3.960355036243586e-07	0.06627466552084864	0.025549008005429058
Caruana_2015-1	0.09236646773462816	0.050204060859820494	4.969969771991863e-06	6.967912800112633e-06	0.12921951888088565
Fett_2019-1	0.07325946384371572	0.00025993839506588786	0.1756803525241154	0.22654356119900892	0.23440692289756013
Hu_2018-1	0.0	0.03466756828586671	0.15813127193114254	0.07870916137418121	0.05435563745923091
Kokal_2009-1	0.0	0.12850529615864856	0.05708257232474285	0.051323527172290315	0.0
Lemmers-Jansen_2020-1	0.13068125070581316	0.0	0.1824269882536606	0.11514834434267399	0.07891947846285642
Miyata_2021-1	0.04482155731886155	0.1267286755253434	5.827082217210219e-06	0.00038877262830027933	0.09973626228346522
Molenberghs_2014-1	0.07950333680282824	2.3961570690695398e-05	0.0	0.0	0.0
Nagy_2010-1	0.0005798753675083572	0.0	4.827009341825343e-05	0.0	0.0028683715359367977
Noordzij_2009_Study2-1	0.0	0.05445702331363458	0.0	0.0	0.0
Ozdem_2017-1	0.0	3.338706759997094e-05	0.0	0.0	0.0
Redcay_2010_Study2-1	0.05539669542678224	0.08371893237255185	0.0	0.0	0.0
Redcay_2012-1	0.015401619409894375	0.10662220762904592	0.010923534459060441	3.1745640670545304e-10	1.8657054884742397e-07
Redcay_2013-1	0.04096399358623524	0.05297883953218147	0.008603401960970189	7.531700404193311e-08	1.85309988624793e-06
Rice_2016a-1	0.0	0.0	0.001586470732084384	0.0	0.0
Rice_2016b-1	0.0	3.1422300128763135e-05	0.004504131541390905	0.0	0.0
Schippers_2009-1	0.0	0.06674303791271824	3.5269715673185646e-06	0.08986806624427543	0.028842770758970696
Sperduti_2014-1	0.0	0.0004384288462616485	0.0	0.0	0.0
Yoshioka_2021-1	0.22791724791205534	0.19237227152958922	0.2066765623824176	0.19279525211818765	0.18550007174917105
