Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	44.0	26.0	-6.0	5.2935175023460275	1928
PositiveTail 2	52.0	-38.0	4.0	5.127004250055703	2784
PositiveTail 2a	54.0	-58.0	12.0	4.080212193418082	
PositiveTail 3	-32.0	-56.0	46.0	5.094595914097979	1080
PositiveTail 4	-42.0	6.0	28.0	4.560866245305094	1456
PositiveTail 5	50.0	22.0	22.0	4.43403057878438	1480
