Cluster ID	X	Y	Z	Peak Stat	Cluster Size (mm3)
PositiveTail 1	54.0	-44.0	12.0	3.7190164854556804	2784
PositiveTail 2	42.0	24.0	-6.0	3.7190164854556804	1928
PositiveTail 3	50.0	22.0	22.0	3.0618141517617614	1480
PositiveTail 4	-44.0	10.0	26.0	3.011453758499792	1456
PositiveTail 5	-32.0	-56.0	46.0	2.3263478740408408	1080
PositiveTail 6	-12.0	-94.0	4.0	0.6833273747315104	560
